股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
0015.TW,Fubon Fubon A,,,,,,,,
0050.TW,Yuanta/P-shares Taiwan Top 50 ETF,,,,,,,,
0051.TW,Yuanta/P-shares Taiwan Mid-Cap 100 ETF,,,,,,,,
0052.TW,Fubon Taiwan Technology Tracker Fund,,,,,,,,
0053.TW,Yuanta/P-shares Taiwan Electronics Tech ETF,,,,,,,,
0054.TW,Yuanta/P-shares S&P Custom China Play 50 ETF,,,,,,,,
0055.TW,Yuanta/P-shares MSCI Taiwan Financials ETF,,,,,,,,
0056.TW,Yuanta/P-shares Taiwan Dividend Plus ETF,,,,,,,,
0057.TW,Fubon MSCI Taiwan ETF,,,,,,,,
0058.TW,Fubon Taiwan Eight Industries Exchange Traded Fund,,,,,,,,
0059.TW,Fubon Taiwan Finance Exchange Traded Fund,,,,,,,,
0060.TW,,,,,,,,,
0061.TW,W.I.S.E. Yuanta/P-shares CSI 300 ETF,,,,,,,,
0080.TW,Hang Seng China Enterprises ETF,,,,,,,,
0081.TW,Hang Seng ETF,,,,,,,,
1101.TW,"TCC Group Holdings Co., Ltd.",1.42,5.564,72.89999999999999,1.671,32.05,241374314496.0,Building Materials,Basic Materials
1102.TW,Asia Cement Corporation,3.85,6.379,4.6,1.358,46.7,165624348672.0,Building Materials,Basic Materials
1103.TW,Chia Hsin Cement Corporation,0.48,1.533,-3.0,3.271,15.8,10433199104.0,Building Materials,Basic Materials
1104.TW,Universal Cement Corporation,2.15,6.494,-4.3,1.78,29.2,20051113984.0,Building Materials,Basic Materials
1108.TW,Lucky Cement Co.,1.22,8.387,-10.2,0.393,14.7,5949648384.0,Building Materials,Basic Materials
1109.TW,"Hsing Ta Cement Co.,Ltd",1.37,5.193,-31.2,5.734,17.5,5970282496.0,Building Materials,Basic Materials
1110.TW,"Southeast Cement Co., Ltd.",0.61,3.7019998,78.8,0.802,18.2,10371943424.0,Building Materials,Basic Materials
1201.TW,Wei Chuan Foods Corporation,0.87,5.906000000000001,4.3999999999999995,0.66,17.5,8856102912.0,Packaged Foods,Consumer Defensive
1203.TW,Ve Wong Corporation,2.36,11.0649996,-10.8,1.256,37.9,9009057792.0,Packaged Foods,Consumer Defensive
1210.TW,"Great Wall Enterprise Co., Ltd.",4.19,13.314,-5.2,0.508,57.7,48277995520.0,Packaged Foods,Consumer Defensive
1213.TW,"Oceanic Beverages Co., Inc.",8.7,104.096,322.7,4.411,13.8,781391872.0,Beverages - Non-Alcoholic,Consumer Defensive
1215.TW,"Charoen Pokphand Enterprise (Taiwan) Co., Ltd.",6.54,17.763,1.6,0.36,98.5,29036816384.0,Packaged Foods,Consumer Defensive
1216.TW,Uni-President Enterprises Corp.,3.62,15.977,7.199999999999999,0.681,80.5,457402580992.0,Packaged Foods,Consumer Defensive
1217.TW,AGV Products Corporation,0.58,3.816,11.700000000000001,0.606,11.65,5761076224.0,Packaged Foods,Consumer Defensive
1218.TW,"Taisun Enterprise Co., Ltd.",1.52,6.671,-10.100000000000001,2.919,20.35,9896611840.0,Packaged Foods,Consumer Defensive
1219.TW,"Fwusow Industry Co., Ltd.",0.53,2.328,-4.1000000000000005,0.866,14.4,4913827328.0,Packaged Foods,Consumer Defensive
1220.TW,"Tai Roun Products Co.,Ltd.",1.17,9.0670004,13.900000000000002,2.041,14.55,2566605568.0,Packaged Foods,Consumer Defensive
1225.TW,"Formosa Oilseed Processing Co., Ltd.",1.78,11.9849995,-12.7,0.87,34.1,8261338624.0,Packaged Foods,Consumer Defensive
1227.TW,Standard Foods Corporation,1.7,9.035,-3.6999999999999997,1.487,34.3,31158804480.0,Packaged Foods,Consumer Defensive
1229.TW,Lien Hwa Industrial Holdings Corporation,2.46,6.994,-26.400000000000002,0.994,48.75,83047571456.0,Conglomerates,Industrials
1231.TW,Lian Hwa Foods Corporation,4.22,18.573,20.9,1.058,127.5,34593554432.0,Packaged Foods,Consumer Defensive
1232.TW,TTET Union Corporation,8.23,24.055,-2.8000000000000003,1.674,150.0,23996252160.0,Packaged Foods,Consumer Defensive
1233.TW,"Ten Ren Tea Co., Ltd.",0.97,5.935,2.0,0.682,34.65,3137522944.0,Packaged Foods,Consumer Defensive
1234.TW,Hey Song Corporation,2.36,5.055,-12.9,1.0,40.1,16115026944.0,Beverages - Non-Alcoholic,Consumer Defensive
1235.TW,"Shin Tai Industry Co., Ltd.",0.08,7.614999999999999,90.3,0.65,101.0,4436021248.0,Farm Products,Consumer Defensive
1236.TW,"Hunya Foods Co., Ltd.",-0.28,-0.97,9.5,0.625,22.85,1980500992.0,Confectioners,Consumer Defensive
1256.TW,"Sunjuice Holdings Co., Limited",8.56,7.712,-12.9,1.615,131.0,4433328128.0,Beverages - Non-Alcoholic,Consumer Defensive
1301.TW,Formosa Plastics Corporation,-0.19,-0.387,5.4,0.649,36.6,232986083328.0,Specialty Chemicals,Basic Materials
1303.TW,Nan Ya Plastics Corporation,0.42,0.894,8.200000000000001,0.901,30.0,237924597760.0,Specialty Chemicals,Basic Materials
1304.TW,USI Corporation,-2.0,-10.873,-1.6,1.355,10.75,11527225344.0,Specialty Chemicals,Basic Materials
1305.TW,China General Plastics Corporation,-1.22,-7.689,-21.0,0.763,12.0,6972599808.0,Specialty Chemicals,Basic Materials
1307.TW,"San Fang Chemical Industry Co., Ltd.",3.7,15.381,6.3,1.934,43.95,17484101632.0,Textile Manufacturing,Consumer Cyclical
1308.TW,Asia Polymer Corporation,-1.26,-6.047000000000001,-7.3999999999999995,2.246,13.35,7926469120.0,Specialty Chemicals,Basic Materials
1309.TW,"Taita Chemical Company, Limited",-0.56,-3.4450000000000003,15.8,1.641,12.9,5128872448.0,Specialty Chemicals,Basic Materials
1310.TW,Taiwan Styrene Monomer Corporation,-0.72,-5.219,5.2,0.843,9.66,5099224064.0,Chemicals,Basic Materials
1312.TW,Grand Pacific Petrochemical Corporation,-1.42,-4.6550002,1.6,1.282,10.35,11851579392.0,Chemicals,Basic Materials
1313.TW,UPC Technology Corporation,-1.79,-8.011,-8.799999999999999,1.161,8.95,11894996992.0,Chemicals,Basic Materials
1314.TW,China Petrochemical Development Corporation,0.15,0.685,,0.28,7.35,27818647552.0,Specialty Chemicals,Basic Materials
1315.TW,Tahsin Industrial Corporation,2.15,2.085,34.0,10.028,69.1,6600915456.0,Apparel Manufacturing,Consumer Cyclical
1316.TW,"Sun Yad Construction Co.,Ltd",-0.77,-0.42700000000000005,101.29999999999998,0.246,17.55,6065771008.0,Real Estate Services,Real Estate
1319.TW,"Tong Yang Industry Co., Ltd.",7.4,16.479999,5.6000000000000005,1.398,128.5,76004794368.0,Auto Parts,Consumer Cyclical
1321.TW,"Ocean Plastics Co., Ltd.",0.76,2.724,-7.000000000000001,1.611,36.2,7988796928.0,Specialty Chemicals,Basic Materials
1323.TW,"Yonyu Plastics Co., Ltd.",2.56,9.915000000000001,-35.099999999999994,2.814,22.7,2063066880.0,Packaging & Containers,Consumer Cyclical
1324.TW,Globe Industries Corporation,0.09,0.70499997,-6.800000000000001,3.181,12.1,908976256.0,Business Equipment & Supplies,Industrials
1325.TW,Universal Incorporation,-0.6,-2.384,-24.3,38.197,26.65,2272738560.0,Textile Manufacturing,Consumer Cyclical
1326.TW,Formosa Chemicals & Fibre Corporation,0.06,0.32600001,-7.199999999999999,0.825,26.05,152366956544.0,Chemicals,Basic Materials
1337.TW,Asia Plastic Recycling Holding Limited,-1.54,-9.713,-13.8,1.179,5.95,1600282240.0,Specialty Chemicals,Basic Materials
1338.TW,Hiroca Holdings Ltd.,-1.51,-0.717,-10.0,1.385,27.5,2264349952.0,Auto Parts,Consumer Cyclical
1339.TW,"Y.C.C. Parts Mfg. Co., Ltd.",5.0,8.621999599999999,-8.200000000000001,1.986,54.6,4047170304.0,Auto Parts,Consumer Cyclical
1340.TW,Victory New Materials Limited Company,-5.28,-23.758000000000003,-46.400000000000006,7.3,8.21,1255497856.0,Footwear & Accessories,Consumer Cyclical
1341.TW,"Fulin Plastic Industry (Cayman) Holding Co., Ltd.",5.31,20.54,24.3,1.101,67.1,3546301952.0,Textile Manufacturing,Consumer Cyclical
1342.TW,"Cathay Consolidated, Inc.",6.18,21.096,3.4000000000000004,1.884,93.6,7345906176.0,Textile Manufacturing,Consumer Cyclical
