stock_code,name,current_price,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry,data_sources
2330.TW,台積電,965.0,26.4,53.61,31.32,30.77,24993500000000,Technology,Semiconductors,"['TWSTOCK', 'TWSE_API']"
2317.TW,鴻海,152.0,9.6,12.67,5.33,6.77,2097600000000,Technology Hardware,Electronic Equipment,"['TWSTOCK', 'TWSE_API']"
2454.TW,聯發科,1280.0,18.0,64.0,22.48,26.38,1638400000000,Technology,Semiconductors,"['TWSTOCK', 'TWSE_API']"
2891.TW,中信金,40.8,12.0,4.08,8.76,7.28,493679999999,Financial Services,Banks,"['TWSTOCK', 'TWSE_API']"
2882.TW,國泰金,62.2,18.0,5.65,3.55,2.65,746400000000,Financial Services,Insurance,"['TWSTOCK', 'TWSE_API']"
2881.TW,富邦金,80.3,15.0,8.92,7.55,5.55,80300000000,Financial Services,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2412.TW,中華電,131.5,12.0,8.92,0.46,0.56,131500000000,Telecommunications,Telecom Services,"['TWSTOCK', 'TWSE_API']"
2002.TW,中鋼,20.0,15.0,1.15,16.13,19.33,20000000000,Basic Materials,Steel,"['TWSTOCK', 'TWSE_API']"
1301.TW,台塑,35.5,15.0,2.33,5.47,4.14,35500000000,Basic Materials,Chemicals,"['TWSTOCK', 'TWSE_API']"
2308.TW,台達電,367.5,18.0,21.27,14.26,10.58,367500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2382.TW,廣達,266.0,18.0,15.97,1.99,2.07,266000000000,Technology Hardware,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2357.TW,華碩,608.0,18.0,41.94,6.42,7.12,608000000000,Technology Hardware,Manufacturing,"['TWSTOCK', 'TWSE_API']"
3711.TW,日月光投控,141.5,18.0,6.75,5.14,5.6,141500000000,Technology,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2303.TW,聯電,46.0,15.0,2.29,9.1,10.48,46000000000,Technology,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2327.TW,國巨,479.0,18.0,28.86,16.52,14.52,479000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2912.TW,統一超,259.5,12.0,14.71,11.16,10.09,259500000000,Consumer Goods,Retail,"['TWSTOCK', 'TWSE_API']"
1216.TW,統一,80.8,12.0,4.87,10.93,13.4,80800000000,Consumer Goods,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2105.TW,正新,51.3,12.0,2.94,16.83,21.44,51300000000,Consumer Goods,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2207.TW,和泰車,618.0,15.0,49.54,12.96,15.36,618000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
3008.TW,大立光,2240.0,18.0,220.96,2.47,1.98,2240000000000,Industrials,Optical Components,"['TWSTOCK', 'TWSE_API']"
2395.TW,研華,343.0,18.0,23.02,16.25,17.71,343000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2379.TW,瑞昱,521.0,15.0,29.44,6.6,7.31,521000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1303.TW,南亞,29.6,15.0,1.67,4.25,4.31,29600000000,Basic Materials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2886.TW,兆豐金,40.0,12.0,3.55,13.2,10.82,40000000000,Financial Services,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2884.TW,玉山金,30.15,15.0,3.13,13.02,10.13,30150000000,Financial Services,Manufacturing,"['TWSTOCK', 'TWSE_API']"
6505.TW,台塑化,38.4,15.0,2.82,12.08,11.45,38400000000,Basic Materials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
