stock_code,name,current_price,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry,data_sources
1101.TW,台泥,26.9,15.0,1.54,17.19,18.18,26900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1102.TW,亞泥,43.4,12.0,3.1,9.01,11.09,43400000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1103.TW,嘉泥,14.5,15.0,1.11,6.96,8.97,14500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1104.TW,環泥,29.9,15.0,1.92,0.12,0.1,29900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1108.TW,幸福,14.9,15.0,1.0,17.7,12.5,14900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1109.TW,信大,16.85,12.0,1.21,12.15,15.54,16850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1110.TW,東泥,19.65,15.0,1.54,7.32,5.38,19650000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1201.TW,味全,15.9,15.0,1.29,15.5,16.65,15900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1203.TW,味王,38.55,15.0,2.67,5.37,6.95,38550000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1210.TW,大成,61.0,15.0,5.66,3.05,2.71,61000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1213.TW,大飲,13.0,18.0,1.19,9.49,8.18,13000000000,Industrials,Manufacturing,['TWSTOCK']
1215.TW,卜蜂,112.0,15.0,6.66,17.12,15.79,112000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1216.TW,統一,79.7,12.0,7.33,13.54,10.67,79700000000,Consumer Goods,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1217.TW,愛之味,10.7,12.0,0.66,5.24,4.29,10700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
