股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
1101.TW,"TCC Group Holdings Co., Ltd.",1.23,4.62,36.8,1.422,30.0,225935392768,Building Materials,Basic Materials
1102.TW,Asia Cement Corporation,3.37,5.6750003,0.6,1.12,43.35,153743376384,Building Materials,Basic Materials
1103.TW,Chia Hsin Cement Corporation,0.67,2.145,7.6,3.449,16.0,10565264384,Building Materials,Basic Materials
1104.TW,Universal Cement Corporation,2.2,6.5009999999999994,1.0999999999999999,1.871,29.7,20394455040,Building Materials,Basic Materials
1108.TW,Lucky Cement Co.,1.24,10.272,1.7000000000000002,0.303,15.3,6192491008,Building Materials,Basic Materials
1109.TW,"Hsing Ta Cement Co.,Ltd",1.27,4.857,-10.0,5.384,17.35,5919109120,Building Materials,Basic Materials
1110.TW,"Southeast Cement Co., Ltd.",0.64,4.165,28.4,0.845,20.95,11939132416,Building Materials,Basic Materials
1201.TW,Wei Chuan Foods Corporation,0.83,5.6110002,-2.4,0.628,17.05,8628373504,Packaged Foods,Consumer Defensive
1203.TW,Ve Wong Corporation,2.3,11.9440004,-0.8999999999999999,1.76,41.05,9757831168,Packaged Foods,Consumer Defensive
1210.TW,"Great Wall Enterprise Co., Ltd.",4.24,13.299,0.8999999999999999,0.457,63.9,53465579520,Packaged Foods,Consumer Defensive
1213.TW,"Oceanic Beverages Co., Inc.",8.9,110.94599999999998,98.3,0.826,12.8,724769280,Beverages - Non-Alcoholic,Consumer Defensive
1216.TW,Uni-President Enterprises Corp.,3.55,15.042,6.6000000000000005,0.676,80.4,456834416640,Packaged Foods,Consumer Defensive
1217.TW,AGV Products Corporation,0.23,1.63,2.1999999999999997,0.623,11.25,5563271168,Packaged Foods,Consumer Defensive
1218.TW,"Taisun Enterprise Co., Ltd.",1.57,6.242,-9.3,2.013,21.35,10382931968,Packaged Foods,Consumer Defensive
1219.TW,"Fwusow Industry Co., Ltd.",0.49,1.96,1.9,0.874,15.8,5391560704,Packaged Foods,Consumer Defensive
1220.TW,"Tai Roun Products Co.,Ltd.",0.78,6.292000000000001,0.1,2.743,14.4,2540145664,Packaged Foods,Consumer Defensive
1225.TW,"Formosa Oilseed Processing Co., Ltd.",1.78,11.9849995,-12.7,0.87,29.65,7183246336,Packaged Foods,Consumer Defensive
1227.TW,Standard Foods Corporation,1.78,8.941,1.2,1.787,35.3,32067223552,Packaged Foods,Consumer Defensive
1229.TW,Lien Hwa Industrial Holdings Corporation,2.36,6.593999999999999,-20.5,0.899,45.95,78277664768,Conglomerates,Industrials
1231.TW,Lian Hwa Foods Corporation,3.61,15.357000000000001,7.6,0.951,138.0,37442433024,Packaged Foods,Consumer Defensive
1232.TW,TTET Union Corporation,8.39,23.292999000000002,-4.1000000000000005,1.766,163.5,26155913216,Packaged Foods,Consumer Defensive
1233.TW,"Ten Ren Tea Co., Ltd.",0.87,5.721000200000001,-4.3,0.634,32.6,2951897344,Packaged Foods,Consumer Defensive
1234.TW,Hey Song Corporation,2.53,5.6020003,-15.5,0.8,41.75,16778115072,Beverages - Non-Alcoholic,Consumer Defensive
1235.TW,"Shin Tai Industry Co., Ltd.",-0.21,-8.0699995,65.0,0.534,106.0,4016339968,Farm Products,Consumer Defensive
1236.TW,"Hunya Foods Co., Ltd.",-0.31,-1.1400000000000001,-10.0,0.739,22.6,1958832384,Confectioners,Consumer Defensive
1256.TW,"Sunjuice Holdings Co., Limited",7.94,6.78,-15.5,2.119,118.0,3993379584,Beverages - Non-Alcoholic,Consumer Defensive
1301.TW,Formosa Plastics Corporation,-0.21,-0.447,-1.9,0.867,36.0,229166645248,Specialty Chemicals,Basic Materials
1303.TW,Nan Ya Plastics Corporation,0.32,0.714,11.799999999999999,1.021,30.7,243476185088,Specialty Chemicals,Basic Materials
1304.TW,USI Corporation,-2.22,-12.235,1.0,1.356,10.15,10883845120,Specialty Chemicals,Basic Materials
1305.TW,China General Plastics Corporation,-1.63,-10.33,-15.2,0.705,11.1,6449655296,Specialty Chemicals,Basic Materials
1307.TW,"San Fang Chemical Industry Co., Ltd.",3.74,15.879999999999999,12.6,1.602,38.7,15395556352,Textile Manufacturing,Consumer Cyclical
1308.TW,Asia Polymer Corporation,-1.34,-6.598999999999999,-1.7000000000000002,2.03,12.35,7332725760,Specialty Chemicals,Basic Materials
1309.TW,"Taita Chemical Company, Limited",-0.44,-2.73,11.700000000000001,1.665,11.85,4711406080,Specialty Chemicals,Basic Materials
1310.TW,Taiwan Styrene Monomer Corporation,-1.0,-7.292999999999999,3.0,0.678,8.75,4618862592,Chemicals,Basic Materials
1312.TW,Grand Pacific Petrochemical Corporation,-1.59,-5.293,75.1,0.89,10.85,12413811712,Chemicals,Basic Materials
1313.TW,UPC Technology Corporation,-1.4,-6.3769995999999995,-18.4,1.103,8.35,11099321344,Chemicals,Basic Materials
1315.TW,Tahsin Industrial Corporation,1.89,1.908,18.8,5.772,66.3,6333440512,Apparel Manufacturing,Consumer Cyclical
1316.TW,"Sun Yad Construction Co.,Ltd",-0.81,4.216,232.50000000000003,0.39,15.8,5460922368,Real Estate Services,Real Estate
1319.TW,"Tong Yang Industry Co., Ltd.",7.9,16.701000999999998,18.099999999999998,1.619,131.0,77483483136,Auto Parts,Consumer Cyclical
1321.TW,"Ocean Plastics Co., Ltd.",0.02,2.724,-7.000000000000001,1.611,36.75,8110173696,Specialty Chemicals,Basic Materials
1323.TW,"Yonyu Plastics Co., Ltd.",2.56,9.915000000000001,-35.099999999999994,2.814,20.6,1872210432,Packaging & Containers,Consumer Cyclical
1324.TW,Globe Industries Corporation,0.01,0.08800000000000001,-7.199999999999999,2.943,11.6,871415232,Business Equipment & Supplies,Industrials
1325.TW,Universal Incorporation,-0.78,-2.384,-24.3,38.197,32.0,2728992000,Textile Manufacturing,Consumer Cyclical
1326.TW,Formosa Chemicals & Fibre Corporation,-0.28,-0.22200000999999997,-6.0,0.899,25.0,146225496064,Chemicals,Basic Materials
1337.TW,Asia Plastic Recycling Holding Limited,-1.59,-10.079,-29.299999999999997,1.028,6.49,1745517952,Specialty Chemicals,Basic Materials
1338.TW,Hiroca Holdings Ltd.,-0.97,-0.38800002,4.3,1.298,24.9,2050265984,Auto Parts,Consumer Cyclical
1339.TW,"Y.C.C. Parts Mfg. Co., Ltd.",4.17,7.0989996,-3.4000000000000004,1.619,53.9,3995283712,Auto Parts,Consumer Cyclical
1340.TW,Victory New Materials Limited Company,-4.89,-22.219,-19.900000000000002,5.91,7.49,1145393280,Footwear & Accessories,Consumer Cyclical
1341.TW,"Fulin Plastic Industry (Cayman) Holding Co., Ltd.",5.15,22.572,13.900000000000002,0.587,66.6,3519876608,Textile Manufacturing,Consumer Cyclical
1342.TW,"Cathay Consolidated, Inc.",6.37,24.174999,27.1,1.235,94.2,7405560832,Textile Manufacturing,Consumer Cyclical
1402.TW,Far Eastern New Century Corporation,2.13,6.1300002,-2.6,0.73,31.9,170731978752,Textile Manufacturing,Consumer Cyclical
1409.TW,Shinkong Synthetic Fibers Corporation,1.09,5.402,-1.2,0.875,13.2,21301235712,Textile Manufacturing,Consumer Cyclical
