stock_code,name,current_price,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry,data_sources
2330.TW,台積電,965.0,26.4,53.61,34.82,43.29,24993500000000,Technology,Semiconductors,"['TWSTOCK', 'TWSE_API']"
2317.TW,鴻海,152.0,9.6,12.67,-4.97,-5.38,2097600000000,Technology Hardware,Electronic Equipment,"['TWSTOCK', 'TWSE_API']"
2454.TW,聯發科,1280.0,18.0,64.0,18.16,16.88,1638400000000,Technology,Semiconductors,"['TWSTOCK', 'TWSE_API']"
2891.TW,中信金,40.8,12.0,4.08,7.66,5.37,493679999999,Financial Services,Banks,"['TWSTOCK', 'TWSE_API']"
2882.TW,國泰金,62.2,18.0,5.65,6.7,8.07,746400000000,Financial Services,Insurance,"['TWSTOCK', 'TWSE_API']"
2881.TW,富邦金,80.3,15.0,8.92,7.18,6.96,80300000000,Financial Services,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2412.TW,中華電,131.5,12.0,10.51,3.52,4.24,131500000000,Telecommunications,Telecom Services,"['TWSTOCK', 'TWSE_API']"
2002.TW,中鋼,20.0,15.0,1.46,6.75,8.33,20000000000,Basic Materials,Steel,"['TWSTOCK', 'TWSE_API']"
1301.TW,台塑,34.0,15.0,2.02,6.9,6.62,34000000000,Basic Materials,Chemicals,"['TWSTOCK', 'TWSE_API']"
2308.TW,台達電,367.5,18.0,20.77,7.67,7.74,367500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2382.TW,廣達,266.0,18.0,19.8,11.34,14.56,266000000000,Technology Hardware,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2357.TW,華碩,608.0,18.0,37.04,4.49,3.74,608000000000,Technology Hardware,Manufacturing,"['TWSTOCK', 'TWSE_API']"
3711.TW,日月光投控,141.5,18.0,5.83,5.03,4.64,141500000000,Technology,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2303.TW,聯電,46.0,15.0,2.67,14.04,17.42,46000000000,Technology,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2327.TW,國巨,479.0,18.0,27.33,11.8,11.41,479000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2912.TW,統一超,259.5,12.0,14.86,3.84,4.78,259500000000,Consumer Goods,Retail,"['TWSTOCK', 'TWSE_API']"
1216.TW,統一,80.8,12.0,4.66,7.89,9.8,80800000000,Consumer Goods,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2105.TW,正新,51.3,12.0,3.6,3.7,3.29,51300000000,Consumer Goods,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2207.TW,和泰車,618.0,15.0,54.24,16.66,20.36,618000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
3008.TW,大立光,2240.0,18.0,173.45,12.83,14.18,2240000000000,Industrials,Optical Components,"['TWSTOCK', 'TWSE_API']"
2395.TW,研華,343.0,18.0,27.41,17.55,16.02,343000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2379.TW,瑞昱,521.0,15.0,41.44,14.51,18.46,521000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1303.TW,南亞,29.6,15.0,1.85,12.03,12.02,29600000000,Basic Materials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2886.TW,兆豐金,40.0,12.0,3.39,5.0,4.09,40000000000,Financial Services,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2884.TW,玉山金,30.15,15.0,2.42,6.54,7.09,30150000000,Financial Services,Manufacturing,"['TWSTOCK', 'TWSE_API']"
6505.TW,台塑化,38.4,15.0,2.3,15.45,15.42,38400000000,Basic Materials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
