stock_code,name,current_price,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry,data_sources
1101.TW,台泥,29.1,15.0,1.63,3.68,4.74,29100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1102.TW,亞泥,42.35,15.0,2.4,0.69,0.73,42350000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1103.TW,嘉泥,15.15,15.0,1.08,3.39,3.48,15150000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1104.TW,環泥,30.6,15.0,2.21,15.2,19.57,30600000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1108.TW,幸福,15.2,15.0,1.1,1.02,1.19,15200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1109.TW,信大,17.25,12.0,1.52,3.85,4.29,17250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1110.TW,東泥,20.25,15.0,1.34,3.28,2.73,20250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1201.TW,味全,16.45,15.0,1.15,1.75,1.36,16450000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1203.TW,味王,40.5,15.0,3.46,5.05,6.03,40500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1210.TW,大成,65.0,15.0,4.88,7.29,5.88,65000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1213.TW,大飲,12.85,18.0,1.02,0.8,0.85,12850000000,Industrials,Manufacturing,['TWSTOCK']
1215.TW,卜蜂,109.5,15.0,9.29,15.29,12.12,109500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1216.TW,統一,81.3,12.0,7.37,4.13,3.54,81300000000,Consumer Goods,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1217.TW,愛之味,11.1,12.0,0.66,5.95,4.81,11100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1218.TW,泰山,21.6,15.0,1.38,16.23,20.68,21600000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1219.TW,福壽,15.65,15.0,1.15,0.23,0.18,15650000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1220.TW,台榮,14.25,15.0,1.11,1.32,1.68,14250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1225.TW,福懋油,29.65,18.0,1.97,2.48,2.37,29650000000,Industrials,Manufacturing,['TWSTOCK']
1229.TW,聯華,44.95,15.0,3.16,1.8,2.21,44950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1231.TW,聯華食,135.5,18.0,12.16,17.63,19.79,135500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1232.TW,大統益,162.5,12.0,12.29,6.44,5.23,162500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1233.TW,天仁,32.5,15.0,3.05,1.91,2.08,32500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1234.TW,黑松,41.4,12.0,2.5,5.99,6.01,41400000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1235.TW,興泰,69.7,18.0,4.24,2.02,2.37,69700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1236.TW,宏亞,22.25,12.0,2.12,6.38,6.46,22250000000,Industrials,Manufacturing,['TWSTOCK']
